x=sensor temperature [°C], y= Integrationtime [ms], z=counts
NOTE: in the raw data .csv files Integrationtime is given in microseconds instead of milliseconds
thus the Integrationtime has to be devided by 1000 before using it as "y" with this calibration file. 
PIXEL SELECTION: pixels with FIT_RMSE > 3.25 (RMSE in training dataset) &  dead pixels with SELECT_RMSE > 25 (RMSE in selection dataset) should be excluded from further analysis.
z(x,y)= p00 + p10*x + p01*y + p20*x^2 + p11*x*y + p30*x^3 + p21*x^2*y
wvlngth	FIT_RMSE	SELECT_RMSE	p00	p10	p01	p20	p11	p30	p21
410.567000	2.615551e+00	4.121343	1.401504e+03	12.263717	2.914425e-02	-0.495826	-3.178459e-03	0.006360	1.142137e-04	
411.029000	2.542748e+00	2.686887	1.421642e+03	9.856301	2.354087e-02	-0.400344	-2.747424e-03	0.005132	9.207654e-05	
411.491000	2.548818e+00	5.160238	1.418469e+03	10.173297	2.084008e-02	-0.410645	-2.701208e-03	0.005234	8.466704e-05	
411.952000	2.559348e+00	4.171764	1.429897e+03	8.626309	2.276057e-02	-0.345399	-2.595269e-03	0.004352	9.045427e-05	
412.414000	2.607517e+00	5.879673	1.402275e+03	11.978492	3.109494e-02	-0.478683	-3.246317e-03	0.006026	1.199374e-04	
412.875000	2.614235e+00	8.880774	1.397956e+03	12.591354	3.091900e-02	-0.503305	-3.326142e-03	0.006387	1.158220e-04	
413.337000	2.787302e+00	4.251126	1.388237e+03	13.736127	3.521410e-02	-0.546070	-3.561034e-03	0.006915	1.274274e-04	
413.799000	2.539416e+00	4.973869	1.423898e+03	9.385690	2.336919e-02	-0.373645	-2.651789e-03	0.004708	9.193548e-05	
414.261000	2.627007e+00	3.514248	1.418047e+03	10.083102	2.353421e-02	-0.403466	-2.640007e-03	0.005112	8.883290e-05	
414.722000	2.914351e+00	4.083903	1.407352e+03	11.418318	2.805276e-02	-0.456043	-3.021390e-03	0.005784	1.061921e-04	
415.184000	2.534911e+00	4.963239	1.421910e+03	9.717534	2.623608e-02	-0.392128	-2.757745e-03	0.004995	1.012199e-04	
415.646000	2.806159e+00	5.280752	1.409595e+03	10.985217	2.740488e-02	-0.440674	-2.933608e-03	0.005606	1.043564e-04	
416.108000	2.628908e+00	4.499244	1.396762e+03	12.514553	2.740503e-02	-0.496378	-3.147708e-03	0.006271	1.053023e-04	
416.570000	2.576598e+00	6.913189	1.408991e+03	11.072879	2.959301e-02	-0.446164	-3.186058e-03	0.005597	1.152559e-04	
417.032000	2.619546e+00	5.611627	1.382152e+03	14.412501	3.537589e-02	-0.570768	-3.743107e-03	0.007208	1.362160e-04	
417.494000	2.736889e+00	3.443648	1.413398e+03	10.669782	2.155022e-02	-0.428563	-2.677322e-03	0.005460	8.576081e-05	
417.956000	2.913595e+00	3.382489	1.415258e+03	10.509717	2.816782e-02	-0.425729	-2.975233e-03	0.005454	1.093167e-04	
418.418000	2.659447e+00	6.204843	1.403126e+03	11.849063	2.821961e-02	-0.472493	-3.296858e-03	0.005968	1.127266e-04	
418.880000	2.652392e+00	4.208185	1.436621e+03	7.918456	7.641141e-03	-0.322793	-2.451213e-03	0.004141	5.229716e-05	
419.342000	2.420302e+00	4.220331	1.435756e+03	7.876291	1.708698e-02	-0.315921	-2.251398e-03	0.004006	6.620962e-05	
419.804000	2.579346e+00	4.592861	1.393264e+03	13.153241	3.041561e-02	-0.526376	-3.233828e-03	0.006687	1.150255e-04	
420.267000	2.924823e+00	9.612767	1.412629e+03	10.745379	2.745678e-02	-0.430897	-2.884231e-03	0.005475	1.044637e-04	
420.729000	2.678466e+00	5.574824	1.411643e+03	10.909992	2.087237e-02	-0.438479	-2.846132e-03	0.005577	8.675503e-05	
421.191000	2.571704e+00	5.827049	1.411309e+03	10.938904	2.149342e-02	-0.439160	-2.846980e-03	0.005589	8.956712e-05	
421.653000	2.728883e+00	3.861603	1.404256e+03	11.694738	2.916833e-02	-0.466814	-3.051641e-03	0.005913	1.090537e-04	
422.116000	2.546661e+00	4.229498	1.435283e+03	8.006119	1.179882e-02	-0.324326	-2.040379e-03	0.004152	4.757583e-05	
